omega (eV),epsilon 1,epsilon 2,n,k,alpha (1/m)
4.79E+00,2.30E+01,14.91706456,5.01832,1.48626,7.22E+07
4.80E+00,2.29E+01,15.0986556,5.01957,1.50398,7.32E+07
4.81E+00,2.29E+01,15.28013762,5.02068,1.52172,7.42E+07
4.82E+00,2.28E+01,15.46143838,5.02166,1.53948,7.52E+07
4.83E+00,2.28E+01,15.64250836,5.02252,1.55724,7.62E+07
4.84E+00,2.28E+01,15.82332169,5.02328,1.575,7.73E+07
4.85E+00,2.27E+01,16.00387651,5.02394,1.59276,7.83E+07
4.86E+00,2.27E+01,16.18419464,5.02451,1.61052,7.93E+07
4.87E+00,2.26E+01,16.36432066,5.02501,1.62829,8.04E+07
4.88E+00,2.25E+01,16.54432037,5.02544,1.64606,8.14E+07
4.89E+00,2.25E+01,16.72427872,5.02581,1.66384,8.25E+07
4.90E+00,2.24E+01,16.90429733,5.02614,1.68164,8.35E+07
4.91E+00,2.24E+01,17.08449142,5.02642,1.69947,8.46E+07
4.92E+00,2.23E+01,17.26498656,5.02668,1.71734,8.56E+07
4.93E+00,2.23E+01,17.44591506,5.0269,1.73526,8.67E+07
4.94E+00,2.22E+01,17.62741221,5.02709,1.75324,8.78E+07
4.95E+00,2.21E+01,17.80961238,5.02725,1.77131,8.89E+07
4.96E+00,2.21E+01,17.99264518,5.02738,1.78946,9.00E+07
4.97E+00,2.20E+01,18.17663168,5.02748,1.80773,9.11E+07
4.98E+00,2.19E+01,18.36168072,5.02754,1.82611,9.22E+07
4.99E+00,2.19E+01,18.54788559,5.02754,1.84463,9.33E+07
5.00E+00,2.18E+01,18.7353209,5.02749,1.86329,9.44E+07
5.01E+00,2.17E+01,18.92403989,5.02736,1.88211,9.56E+07
5.02E+00,2.17E+01,19.11407214,5.02714,1.90109,9.67E+07
5.03E+00,2.16E+01,19.30542176,5.02682,1.92024,9.79E+07
5.04E+00,2.15E+01,19.49806606,5.02637,1.93958,9.91E+07
5.05E+00,2.14E+01,19.69195474,5.02579,1.95909,1.00E+08
5.06E+00,2.13E+01,19.88700963,5.02505,1.97879,1.01E+08
5.07E+00,2.12E+01,20.08312493,5.02414,1.99866,1.03E+08
5.08E+00,2.12E+01,20.28016797,5.02303,2.01872,1.04E+08
5.09E+00,2.11E+01,20.47798041,5.02171,2.03895,1.05E+08
5.10E+00,2.10E+01,20.67638003,5.02015,2.05934,1.06E+08
5.11E+00,2.09E+01,20.87516278,5.01835,2.07988,1.08E+08
5.12E+00,2.08E+01,21.07410528,5.01627,2.10057,1.09E+08
5.13E+00,2.06E+01,21.27296766,5.01392,2.12139,1.10E+08
5.14E+00,2.05E+01,21.47149664,5.01128,2.14232,1.12E+08
5.15E+00,2.04E+01,21.66942877,5.00832,2.16334,1.13E+08
5.16E+00,2.03E+01,21.86649394,5.00506,2.18444,1.14E+08
5.17E+00,2.01E+01,22.06241887,5.00146,2.2056,1.16E+08
5.18E+00,2.00E+01,22.25693069,4.99754,2.22679,1.17E+08
5.19E+00,1.99E+01,22.44976047,4.99329,2.24799,1.18E+08
5.20E+00,1.97E+01,22.6406467,4.9887,2.26919,1.20E+08
5.21E+00,1.96E+01,22.8293386,4.98378,2.29037,1.21E+08
5.22E+00,1.94E+01,23.0155993,4.97853,2.31149,1.22E+08
5.23E+00,1.93E+01,23.19920875,4.97295,2.33254,1.24E+08
5.24E+00,1.91E+01,23.37996641,4.96706,2.3535,1.25E+08
5.25E+00,1.90E+01,23.55769362,4.96086,2.37436,1.26E+08
5.26E+00,1.88E+01,23.73223567,4.95436,2.39508,1.28E+08
5.27E+00,1.86E+01,23.90346346,4.94759,2.41567,1.29E+08
5.28E+00,1.85E+01,24.07127486,4.94054,2.4361,1.30E+08
5.29E+00,1.83E+01,24.23559565,4.93325,2.45635,1.32E+08
5.30E+00,1.81E+01,24.39638003,4.92572,2.47643,1.33E+08
5.31E+00,1.80E+01,24.55361077,4.91798,2.49631,1.34E+08
5.32E+00,1.78E+01,24.70729891,4.91005,2.51599,1.36E+08
5.33E+00,1.76E+01,24.85748306,4.90194,2.53548,1.37E+08
5.34E+00,1.74E+01,25.00422832,4.89367,2.55475,1.38E+08
5.35E+00,1.72E+01,25.14762479,4.88527,2.57382,1.40E+08
5.36E+00,1.71E+01,25.28778568,4.87675,2.59269,1.41E+08
5.37E+00,1.69E+01,25.42484511,4.86814,2.61135,1.42E+08
5.38E+00,1.67E+01,25.55895555,4.85944,2.62982,1.43E+08
5.39E+00,1.65E+01,25.69028501,4.85069,2.64811,1.45E+08
5.40E+00,1.63E+01,25.81901394,4.84189,2.66621,1.46E+08
5.41E+00,1.62E+01,25.9453319,4.83306,2.68415,1.47E+08
5.42E+00,1.60E+01,26.06943416,4.82421,2.70194,1.48E+08
5.43E+00,1.58E+01,26.19151807,4.81535,2.71959,1.50E+08
5.44E+00,1.56E+01,26.31177952,4.80649,2.73711,1.51E+08
5.45E+00,1.54E+01,26.43040928,4.79765,2.75452,1.52E+08
5.46E+00,1.52E+01,26.54758956,4.78881,2.77183,1.53E+08
5.47E+00,1.51E+01,26.66349059,4.78,2.78907,1.55E+08
5.48E+00,1.49E+01,26.77826757,4.7712,2.80624,1.56E+08
5.49E+00,1.47E+01,26.89205777,4.76241,2.82337,1.57E+08
5.50E+00,1.45E+01,27.00497808,4.75364,2.84045,1.58E+08
5.51E+00,1.43E+01,27.11712299,4.74487,2.85752,1.60E+08
5.52E+00,1.42E+01,27.22856303,4.7361,2.87458,1.61E+08
5.53E+00,1.40E+01,27.33934371,4.72733,2.89163,1.62E+08
5.54E+00,1.38E+01,27.44948519,4.71853,2.90869,1.63E+08
5.55E+00,1.36E+01,27.55898238,4.70972,2.92576,1.65E+08
5.56E+00,1.34E+01,27.66780588,4.70086,2.94285,1.66E+08
5.57E+00,1.33E+01,27.77590343,4.69195,2.95995,1.67E+08
5.58E+00,1.31E+01,27.88320212,4.68299,2.97707,1.68E+08
5.59E+00,1.29E+01,27.98961121,4.67396,2.99421,1.70E+08
5.60E+00,1.27E+01,28.09502555,4.66485,3.01135,1.71E+08
5.61E+00,1.25E+01,28.1993296,4.65566,3.0285,1.72E+08
5.62E+00,1.23E+01,28.30240193,4.64638,3.04564,1.73E+08
5.63E+00,1.21E+01,28.40412019,4.63701,3.06276,1.75E+08
5.64E+00,1.19E+01,28.5043664,4.62754,3.07986,1.76E+08
5.65E+00,1.17E+01,28.60303248,4.61798,3.09692,1.77E+08
5.66E+00,1.15E+01,28.70002592,4.60834,3.11392,1.79E+08
5.67E+00,1.13E+01,28.79527546,4.59862,3.13086,1.80E+08
5.68E+00,1.11E+01,28.88873669,4.58882,3.14773,1.81E+08
5.69E+00,1.10E+01,28.98039729,4.57898,3.16451,1.83E+08
5.70E+00,1.08E+01,29.07028204,4.56909,3.18119,1.84E+08
5.71E+00,1.06E+01,29.15845717,4.55919,3.19777,1.85E+08
5.72E+00,1.04E+01,29.24503414,4.54928,3.21425,1.86E+08
5.73E+00,1.02E+01,29.33017267,4.53941,3.23061,1.88E+08
5.74E+00,9.98E+00,29.41408278,4.5296,3.24688,1.89E+08
5.75E+00,9.78E+00,29.497026,4.51986,3.26304,1.90E+08
5.76E+00,9.59E+00,29.57931536,4.51025,3.27912,1.91E+08
5.77E+00,9.40E+00,29.66131433,4.50077,3.29514,1.93E+08
5.78E+00,9.21E+00,29.74343458,4.49147,3.3111,1.94E+08
5.79E+00,9.02E+00,29.82613242,4.48238,3.32704,1.95E+08
5.80E+00,8.84E+00,29.90990416,4.47352,3.343,1.97E+08
5.81E+00,8.65E+00,29.99528014,4.46491,3.359,1.98E+08
5.82E+00,8.47E+00,30.08281764,4.45659,3.3751,1.99E+08
5.83E+00,8.29E+00,30.17309269,4.44856,3.39133,2.00E+08
5.84E+00,8.11E+00,30.26669085,4.44085,3.40776,2.02E+08
5.85E+00,7.93E+00,30.36419703,4.43345,3.42444,2.03E+08
5.86E+00,7.75E+00,30.46618465,4.42638,3.44144,2.04E+08
5.87E+00,7.57E+00,30.57320402,4.41962,3.45881,2.06E+08
5.88E+00,7.39E+00,30.68577034,4.41316,3.47662,2.07E+08
5.89E+00,7.21E+00,30.80435139,4.40699,3.49494,2.09E+08
5.90E+00,7.02E+00,30.92935515,4.40107,3.51384,2.10E+08
5.91E+00,6.83E+00,31.06111744,4.39537,3.53339,2.12E+08
5.92E+00,6.64E+00,31.19989001,4.38984,3.55365,2.13E+08
5.93E+00,6.44E+00,31.34582903,4.38442,3.57468,2.15E+08
5.94E+00,6.24E+00,31.49898437,4.37905,3.59655,2.17E+08
5.95E+00,6.03E+00,31.65928982,4.37366,3.61931,2.18E+08
5.96E+00,5.81E+00,31.82655444,4.36817,3.64301,2.20E+08
5.97E+00,5.58E+00,32.00045521,4.36249,3.66768,2.22E+08
5.98E+00,5.34E+00,32.18053116,4.35653,3.69337,2.24E+08
5.99E+00,5.09E+00,32.36617921,4.35018,3.72009,2.26E+08
6.00E+00,4.82E+00,32.55665168,4.34336,3.74787,2.28E+08
6.01E+00,4.54E+00,32.75105578,4.33593,3.7767,2.30E+08
6.02E+00,4.24E+00,32.94835495,4.3278,3.80659,2.32E+08
6.03E+00,3.93E+00,33.14737237,4.31886,3.83751,2.35E+08
6.04E+00,3.59E+00,33.34679636,4.30899,3.86945,2.37E+08
6.05E+00,3.25E+00,33.54518792,4.29807,3.90235,2.39E+08
6.06E+00,2.88E+00,33.74099024,4.28601,3.93618,2.42E+08
6.07E+00,2.49E+00,33.93254018,4.27269,3.97087,2.44E+08
6.08E+00,2.08E+00,34.11808153,4.25801,4.00635,2.47E+08
6.09E+00,1.65E+00,34.29578014,4.24187,4.04253,2.50E+08
6.10E+00,1.20E+00,34.46374042,4.22418,4.07934,2.52E+08
6.11E+00,7.34E-01,34.62002342,4.20486,4.11667,2.55E+08
6.12E+00,2.45E-01,34.76266599,4.18382,4.15441,2.58E+08
6.13E+00,-2.63E-01,34.88970096,4.16102,4.19245,2.60E+08
6.14E+00,-7.89E-01,34.99917797,4.13637,4.23066,2.63E+08
6.15E+00,-1.33E+00,35.0891849,4.10984,4.26892,2.66E+08
6.16E+00,-1.89E+00,35.15786934,4.08139,4.30709,2.69E+08
6.17E+00,-2.47E+00,35.20346005,4.05099,4.34504,2.72E+08
6.18E+00,-3.06E+00,35.22428809,4.01863,4.38263,2.75E+08
6.19E+00,-3.66E+00,35.21880722,3.98429,4.41971,2.77E+08
6.20E+00,-4.27E+00,35.1856134,3.94799,4.45614,2.80E+08
6.21E+00,-4.89E+00,35.12346312,3.90975,4.49178,2.83E+08
6.22E+00,-5.52E+00,35.03129023,3.86959,4.52649,2.85E+08
6.23E+00,-6.14E+00,34.90822113,3.82755,4.56012,2.88E+08
6.24E+00,-6.78E+00,34.75358794,3.7837,4.59254,2.90E+08
6.25E+00,-7.40E+00,34.56693971,3.73809,4.62361,2.93E+08
6.26E+00,-8.03E+00,34.34805119,3.69079,4.65321,2.95E+08
6.27E+00,-8.65E+00,34.09692927,3.6419,4.6812,2.97E+08
6.28E+00,-9.26E+00,33.81381685,3.5915,4.70748,3.00E+08
6.29E+00,-9.86E+00,33.49919413,3.5397,4.73192,3.02E+08
6.30E+00,-1.04E+01,33.15377722,3.48662,4.75443,3.04E+08
6.31E+00,-1.10E+01,32.77851412,3.43237,4.7749,3.05E+08
6.32E+00,-1.16E+01,32.37457805,3.37709,4.79326,3.07E+08
6.33E+00,-1.21E+01,31.94335826,3.32091,4.80943,3.09E+08
6.34E+00,-1.26E+01,31.48644836,3.26397,4.82334,3.10E+08
6.35E+00,-1.31E+01,31.00563237,3.20642,4.83493,3.11E+08
6.36E+00,-1.36E+01,30.50286853,3.14842,4.84416,3.12E+08
6.37E+00,-1.40E+01,29.98027126,3.09012,4.851,3.13E+08
6.38E+00,-1.44E+01,29.4400913,3.03167,4.85542,3.14E+08
6.39E+00,-1.48E+01,28.88469441,2.97326,4.85742,3.15E+08
6.40E+00,-1.51E+01,28.31653874,2.91503,4.85699,3.15E+08
6.41E+00,-1.54E+01,27.73815137,2.85715,4.85417,3.15E+08
6.42E+00,-1.57E+01,27.1521041,2.79978,4.84897,3.16E+08
6.43E+00,-1.59E+01,26.56098885,2.74308,4.84145,3.16E+08
6.44E+00,-1.61E+01,25.967393,2.68722,4.83164,3.15E+08
6.45E+00,-1.63E+01,25.37387502,2.63235,4.81963,3.15E+08
6.46E+00,-1.64E+01,24.78294045,2.57861,4.80549,3.15E+08
6.47E+00,-1.66E+01,24.19701882,2.52614,4.78932,3.14E+08
6.48E+00,-1.66E+01,23.61844155,2.47509,4.77122,3.13E+08
6.49E+00,-1.67E+01,23.04942119,2.42559,4.75131,3.13E+08
6.50E+00,-1.67E+01,22.49203217,2.37774,4.72972,3.12E+08
6.51E+00,-1.67E+01,21.94819338,2.33165,4.70658,3.11E+08
6.52E+00,-1.67E+01,21.41965257,2.28743,4.68204,3.09E+08
6.53E+00,-1.66E+01,20.907973,2.24514,4.65627,3.08E+08
6.54E+00,-1.66E+01,20.4145222,2.20487,4.62942,3.07E+08
6.55E+00,-1.65E+01,19.94046312,2.16666,4.60166,3.05E+08
6.56E+00,-1.64E+01,19.4867477,2.13055,4.57317,3.04E+08
6.57E+00,-1.63E+01,19.05411281,2.09656,4.54414,3.03E+08
6.58E+00,-1.61E+01,18.64307877,2.0647,4.51473,3.01E+08
6.59E+00,-1.60E+01,18.25395016,2.03494,4.48513,3.00E+08
6.60E+00,-1.58E+01,17.88681913,2.00727,4.45552,2.98E+08
6.61E+00,-1.57E+01,17.54157096,1.98162,4.42607,2.97E+08
6.62E+00,-1.55E+01,17.21789182,1.95794,4.39695,2.95E+08
6.63E+00,-1.53E+01,16.91527862,1.93613,4.36832,2.94E+08
6.64E+00,-1.52E+01,16.63305073,1.9161,4.34034,2.92E+08
6.65E+00,-1.50E+01,16.37036347,1.89773,4.31313,2.91E+08
6.66E+00,-1.48E+01,16.12622315,1.8809,4.28683,2.89E+08
6.67E+00,-1.47E+01,15.89950337,1.86546,4.26155,2.88E+08
6.68E+00,-1.45E+01,15.68896251,1.85126,4.23737,2.87E+08
6.69E+00,-1.44E+01,15.49326203,1.83815,4.21436,2.86E+08
6.70E+00,-1.42E+01,15.31098544,1.82595,4.1926,2.85E+08
6.71E+00,-1.41E+01,15.14065759,1.81451,4.1721,2.84E+08
6.72E+00,-1.40E+01,14.98076417,1.80366,4.15289,2.83E+08
6.73E+00,-1.39E+01,14.82977108,1.79322,4.13496,2.82E+08
6.74E+00,-1.38E+01,14.68614343,1.78304,4.11829,2.81E+08
6.75E+00,-1.37E+01,14.54836398,1.77296,4.10285,2.81E+08
6.76E+00,-1.36E+01,14.41495084,1.76283,4.08857,2.80E+08
6.77E+00,-1.35E+01,14.28447408,1.75253,4.07539,2.80E+08
6.78E+00,-1.35E+01,14.15557127,1.74192,4.06322,2.79E+08
6.79E+00,-1.34E+01,14.02696158,1.73089,4.05196,2.79E+08
6.80E+00,-1.34E+01,13.8974585,1.71934,4.0415,2.79E+08
6.81E+00,-1.33E+01,13.76598082,1.7072,4.03174,2.78E+08
6.82E+00,-1.33E+01,13.63156201,1.69439,4.02256,2.78E+08
6.83E+00,-1.33E+01,13.49335781,1.68086,4.01382,2.78E+08
6.84E+00,-1.33E+01,13.35065193,1.66658,4.00541,2.78E+08
6.85E+00,-1.33E+01,13.20285999,1.65151,3.9972,2.78E+08
6.86E+00,-1.32E+01,13.04953159,1.63567,3.98906,2.77E+08
6.87E+00,-1.32E+01,12.89035059,1.61904,3.98086,2.77E+08
6.88E+00,-1.32E+01,12.72513368,1.60165,3.9725,2.77E+08
6.89E+00,-1.32E+01,12.55382724,1.58354,3.96386,2.77E+08
6.90E+00,-1.32E+01,12.3765027,1.56473,3.95483,2.77E+08
6.91E+00,-1.32E+01,12.19335047,1.5453,3.94531,2.76E+08
6.92E+00,-1.32E+01,12.00467252,1.52529,3.9352,2.76E+08
6.93E+00,-1.31E+01,11.81087391,1.50479,3.92444,2.76E+08
6.94E+00,-1.31E+01,11.61245333,1.48386,3.91293,2.75E+08
6.95E+00,-1.31E+01,11.40999275,1.46258,3.90063,2.75E+08
6.96E+00,-1.30E+01,11.20414664,1.44106,3.88746,2.74E+08
6.97E+00,-1.30E+01,10.99563055,1.41938,3.87339,2.74E+08
6.98E+00,-1.29E+01,10.78520957,1.39763,3.85838,2.73E+08
6.99E+00,-1.29E+01,10.57368665,1.37592,3.84241,2.72E+08
7.00E+00,-1.28E+01,10.36189104,1.35433,3.82546,2.71E+08
7.01E+00,-1.27E+01,10.1506669,1.33298,3.80752,2.71E+08
7.02E+00,-1.26E+01,9.940862409,1.31195,3.78859,2.70E+08
7.03E+00,-1.25E+01,9.733319263,1.29134,3.7687,2.69E+08
7.04E+00,-1.24E+01,9.528862931,1.27124,3.74786,2.67E+08
7.05E+00,-1.23E+01,9.328293563,1.25175,3.72609,2.66E+08
7.06E+00,-1.22E+01,9.132377752,1.23296,3.70345,2.65E+08
7.07E+00,-1.21E+01,8.941841165,1.21494,3.67996,2.64E+08
7.08E+00,-1.19E+01,8.757362097,1.19777,3.6557,2.62E+08
7.09E+00,-1.18E+01,8.579565977,1.18153,3.63071,2.61E+08
7.10E+00,-1.16E+01,8.409020838,1.16628,3.60505,2.59E+08
7.11E+00,-1.15E+01,8.246233727,1.15209,3.57881,2.58E+08
7.12E+00,-1.13E+01,8.091648062,1.13901,3.55206,2.56E+08
7.13E+00,-1.12E+01,7.945641867,1.12708,3.52487,2.55E+08
7.14E+00,-1.10E+01,7.808526865,1.11635,3.49733,2.53E+08
7.15E+00,-1.08E+01,7.680548355,1.10686,3.46953,2.51E+08
7.16E+00,-1.06E+01,7.561885812,1.09861,3.44156,2.50E+08
7.17E+00,-1.05E+01,7.45265415,1.09164,3.41351,2.48E+08
7.18E+00,-1.03E+01,7.352905552,1.08595,3.38547,2.46E+08
7.19E+00,-1.01E+01,7.262631808,1.08154,3.35754,2.45E+08
7.20E+00,-9.92E+00,7.181767083,1.07841,3.32981,2.43E+08
7.21E+00,-9.75E+00,7.110191031,1.07653,3.30237,2.41E+08
7.22E+00,-9.57E+00,7.047732199,1.07589,3.27531,2.40E+08
7.23E+00,-9.40E+00,6.994171632,1.07645,3.24873,2.38E+08
7.24E+00,-9.22E+00,6.949246653,1.07817,3.2227,2.36E+08
7.25E+00,-9.05E+00,6.912654722,1.08101,3.19731,2.35E+08
7.26E+00,-8.89E+00,6.884057365,1.08491,3.17264,2.33E+08
7.27E+00,-8.73E+00,6.863084108,1.08981,3.14875,2.32E+08
7.28E+00,-8.57E+00,6.849336394,1.09565,3.12571,2.31E+08
7.29E+00,-8.42E+00,6.84239145,1.10234,3.10358,2.29E+08
7.30E+00,-8.27E+00,6.841806101,1.10981,3.08241,2.28E+08
7.31E+00,-8.13E+00,6.847120491,1.11799,3.06225,2.27E+08
7.32E+00,-7.99E+00,6.857861729,1.12678,3.04312,2.26E+08
7.33E+00,-7.86E+00,6.873547439,1.1361,3.02506,2.25E+08
7.34E+00,-7.74E+00,6.893689218,1.14586,3.00808,2.24E+08
7.35E+00,-7.62E+00,6.917796006,1.15597,2.9922,2.23E+08
7.36E+00,-7.50E+00,6.945377361,1.16635,2.9774,2.22E+08
7.37E+00,-7.40E+00,6.975946656,1.1769,2.9637,2.21E+08
7.38E+00,-7.30E+00,7.009024182,1.18754,2.95106,2.21E+08
7.39E+00,-7.20E+00,7.044140167,1.1982,2.93946,2.20E+08
7.40E+00,-7.12E+00,7.080837713,1.2088,2.92888,2.20E+08
7.41E+00,-7.04E+00,7.118675626,1.21925,2.91927,2.19E+08
7.42E+00,-6.96E+00,7.157231154,1.22951,2.9106,2.19E+08
7.43E+00,-6.89E+00,7.196102606,1.23951,2.90281,2.19E+08
7.44E+00,-6.83E+00,7.234911835,1.24919,2.89585,2.18E+08
7.45E+00,-6.77E+00,7.273306581,1.25851,2.88966,2.18E+08
7.46E+00,-6.71E+00,7.310962632,1.26742,2.88418,2.18E+08
7.47E+00,-6.66E+00,7.347585797,1.27591,2.87936,2.18E+08
7.48E+00,-6.62E+00,7.382913656,1.28393,2.87512,2.18E+08
7.49E+00,-6.58E+00,7.41671706,1.29148,2.87141,2.18E+08
7.50E+00,-6.54E+00,7.448801357,1.29853,2.86816,2.18E+08
7.51E+00,-6.51E+00,7.479007324,1.3051,2.86531,2.18E+08
7.52E+00,-6.48E+00,7.507211764,1.31117,2.8628,2.18E+08
7.53E+00,-6.45E+00,7.533327769,1.31675,2.86057,2.18E+08
7.54E+00,-6.42E+00,7.557304611,1.32187,2.85857,2.18E+08
7.55E+00,-6.40E+00,7.579127265,1.32653,2.85674,2.19E+08
7.56E+00,-6.38E+00,7.598815537,1.33077,2.85504,2.19E+08
7.57E+00,-6.36E+00,7.616422816,1.33461,2.85343,2.19E+08
7.58E+00,-6.34E+00,7.632034436,1.33808,2.85186,2.19E+08
7.59E+00,-6.33E+00,7.645765663,1.34122,2.85031,2.19E+08
7.60E+00,-6.31E+00,7.657759335,1.34406,2.84874,2.19E+08
7.61E+00,-6.29E+00,7.668183157,1.34665,2.84714,2.20E+08
7.62E+00,-6.28E+00,7.677226696,1.34902,2.84548,2.20E+08
7.63E+00,-6.26E+00,7.685098112,1.35122,2.84375,2.20E+08
7.64E+00,-6.25E+00,7.692020648,1.3533,2.84196,2.20E+08
7.65E+00,-6.23E+00,7.698228953,1.35528,2.84009,2.20E+08
7.66E+00,-6.21E+00,7.703965252,1.35721,2.83817,2.20E+08
7.67E+00,-6.20E+00,7.709475447,1.35913,2.83618,2.20E+08
7.68E+00,-6.18E+00,7.715005182,1.36108,2.83416,2.21E+08
7.69E+00,-6.16E+00,7.720795937,1.36308,2.83212,2.21E+08
7.70E+00,-6.15E+00,7.727081196,1.36517,2.83008,2.21E+08
7.71E+00,-6.13E+00,7.734082753,1.36737,2.82808,2.21E+08
7.72E+00,-6.11E+00,7.742007198,1.36971,2.82615,2.21E+08
7.73E+00,-6.09E+00,7.751042638,1.3722,2.82432,2.21E+08
7.74E+00,-6.08E+00,7.761355693,1.37485,2.82262,2.21E+08
7.75E+00,-6.06E+00,7.773088799,1.37767,2.82111,2.22E+08
7.76E+00,-6.05E+00,7.786357872,1.38066,2.81981,2.22E+08
7.77E+00,-6.03E+00,7.801250338,1.38381,2.81876,2.22E+08
7.78E+00,-6.02E+00,7.817823565,1.38712,2.81801,2.22E+08
7.79E+00,-6.01E+00,7.836103704,1.39057,2.81759,2.22E+08
7.80E+00,-5.99E+00,7.856084958,1.39414,2.81753,2.23E+08
7.81E+00,-5.99E+00,7.87772927,1.39781,2.81788,2.23E+08
7.82E+00,-5.98E+00,7.900966429,1.40154,2.81867,2.23E+08
7.83E+00,-5.98E+00,7.925694592,1.40531,2.81991,2.24E+08
7.84E+00,-5.98E+00,7.951781189,1.40907,2.82164,2.24E+08
7.85E+00,-5.98E+00,7.979064212,1.41278,2.82388,2.25E+08
7.86E+00,-5.98E+00,8.007353844,1.41641,2.82663,2.25E+08
7.87E+00,-5.99E+00,8.036434408,1.41991,2.82992,2.26E+08
7.88E+00,-6.00E+00,8.066066598,1.42322,2.83373,2.26E+08
7.89E+00,-6.02E+00,8.095989965,1.42631,2.83809,2.27E+08
7.90E+00,-6.04E+00,8.125925611,1.42912,2.84297,2.28E+08
7.91E+00,-6.06E+00,8.155579055,1.43162,2.84838,2.28E+08
7.92E+00,-6.09E+00,8.184643241,1.43374,2.85429,2.29E+08
7.93E+00,-6.12E+00,8.212801627,1.43546,2.86069,2.30E+08
7.94E+00,-6.16E+00,8.239731342,1.43672,2.86755,2.31E+08
7.95E+00,-6.20E+00,8.265106355,1.43749,2.87484,2.32E+08
7.96E+00,-6.24E+00,8.288600621,1.43772,2.88254,2.33E+08
7.97E+00,-6.29E+00,8.309891178,1.43739,2.89061,2.34E+08
7.98E+00,-6.34E+00,8.328661152,1.43647,2.89901,2.34E+08
7.99E+00,-6.40E+00,8.344602649,1.43491,2.9077,2.35E+08
8.00E+00,-6.45E+00,8.357419493,1.43271,2.91665,2.36E+08
8.01E+00,-6.52E+00,8.366829804,1.42984,2.92579,2.38E+08
8.02E+00,-6.58E+00,8.372568371,1.42628,2.9351,2.39E+08
8.03E+00,-6.65E+00,8.374388824,1.42203,2.94452,2.40E+08
8.04E+00,-6.72E+00,8.37206557,1.41707,2.95401,2.41E+08
8.05E+00,-6.79E+00,8.365395492,1.4114,2.96351,2.42E+08
8.06E+00,-6.86E+00,8.354199402,1.40501,2.97299,2.43E+08
8.07E+00,-6.94E+00,8.338323225,1.39792,2.9824,2.44E+08
8.08E+00,-7.02E+00,8.317638937,1.39012,2.99169,2.45E+08
8.09E+00,-7.10E+00,8.292045235,1.38163,3.00081,2.46E+08
8.10E+00,-7.17E+00,8.261467951,1.37246,3.00973,2.47E+08
8.11E+00,-7.25E+00,8.225860209,1.36262,3.0184,2.48E+08
8.12E+00,-7.33E+00,8.185202348,1.35213,3.02678,2.49E+08
8.13E+00,-7.41E+00,8.139501598,1.34101,3.03483,2.50E+08
8.14E+00,-7.49E+00,8.088791544,1.32929,3.04252,2.51E+08
8.15E+00,-7.57E+00,8.033131381,1.31699,3.04981,2.52E+08
8.16E+00,-7.64E+00,7.972604974,1.30413,3.05668,2.53E+08
8.17E+00,-7.72E+00,7.907319754,1.29075,3.06308,2.54E+08
8.18E+00,-7.79E+00,7.83740546,1.27687,3.06899,2.54E+08
8.19E+00,-7.86E+00,7.763012744,1.26253,3.07439,2.55E+08
8.20E+00,-7.92E+00,7.684311678,1.24776,3.07925,2.56E+08
8.21E+00,-7.99E+00,7.601490163,1.23258,3.08356,2.57E+08
8.22E+00,-8.05E+00,7.51475228,1.21705,3.08729,2.57E+08
8.23E+00,-8.11E+00,7.42431659,1.20118,3.09043,2.58E+08
8.24E+00,-8.16E+00,7.330414422,1.18501,3.09297,2.58E+08
8.25E+00,-8.21E+00,7.23328815,1.16859,3.09488,2.59E+08
8.26E+00,-8.26E+00,7.133189493,1.15194,3.09617,2.59E+08
8.27E+00,-8.30E+00,7.030377848,1.13509,3.09683,2.60E+08
8.28E+00,-8.34E+00,6.925118675,1.11809,3.09685,2.60E+08
8.29E+00,-8.37E+00,6.817681948,1.10097,3.09622,2.60E+08
8.30E+00,-8.40E+00,6.708340681,1.08376,3.09494,2.60E+08
8.31E+00,-8.43E+00,6.597369545,1.06649,3.09302,2.61E+08
8.32E+00,-8.45E+00,6.485043579,1.04921,3.09046,2.61E+08
8.33E+00,-8.47E+00,6.371636993,1.03193,3.08725,2.61E+08
8.34E+00,-8.48E+00,6.257422084,1.01469,3.0834,2.61E+08
8.35E+00,-8.48E+00,6.142668248,0.997534,3.07893,2.61E+08
8.36E+00,-8.49E+00,6.027641095,0.980478,3.07383,2.60E+08
8.37E+00,-8.48E+00,5.912601658,0.963558,3.06811,2.60E+08
8.38E+00,-8.48E+00,5.797805695,0.946801,3.06179,2.60E+08
8.39E+00,-8.47E+00,5.683503079,0.930238,3.05487,2.60E+08
8.40E+00,-8.45E+00,5.569937256,0.913895,3.04736,2.59E+08
8.41E+00,-8.43E+00,5.457344781,0.8978,3.03929,2.59E+08
8.42E+00,-8.41E+00,5.345954898,0.88198,3.03066,2.59E+08
8.43E+00,-8.38E+00,5.235989178,0.866461,3.02148,2.58E+08
8.44E+00,-8.35E+00,5.127661187,0.851268,3.01178,2.58E+08
8.45E+00,-8.31E+00,5.02117619,0.836425,3.00157,2.57E+08
8.46E+00,-8.27E+00,4.916730861,0.821957,2.99087,2.56E+08
8.47E+00,-8.23E+00,4.814513015,0.807887,2.97969,2.56E+08
8.48E+00,-8.18E+00,4.71470134,0.794238,2.96807,2.55E+08
8.49E+00,-8.13E+00,4.617465119,0.78103,2.95601,2.54E+08
